"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.756975530E-1,1.679830020E-3,2.748812549E-3,6.108472589E-4,3.278861647E-3
1.780006260E-1,1.679830020E-3,3.970507067E-3,3.054236295E-3,5.283475618E-3
1.803036980E-1,1.679830020E-3,1.527118147E-3,1.679830020E-3,2.824136617E-3
1.826067710E-1,4.123218823E-3,3.817795310E-3,6.108472589E-4,5.652400275E-3
1.849098440E-1,4.123218823E-3,5.039489828E-3,1.832541777E-3,6.764288622E-3
1.872129170E-1,2.901524538E-3,5.192201585E-3,1.832541777E-3,6.223826098E-3
1.895159900E-1,1.679830020E-3,6.261184346E-3,6.108472589E-4,6.511328028E-3
1.918190630E-1,2.901524538E-3,5.192201585E-3,1.832541777E-3,6.223826098E-3
1.941221360E-1,2.901524538E-3,5.192201585E-3,1.832541777E-3,6.223826098E-3
1.964252090E-1,4.581354442E-4,3.970507067E-3,6.108472589E-4,4.043259678E-3
1.987282820E-1,4.581354442E-4,5.192201585E-3,6.108472589E-4,5.248045327E-3
2.010313550E-1,4.581354442E-4,5.192201585E-3,6.108472589E-4,5.248045327E-3
2.033344280E-1,1.679830020E-3,3.970507067E-3,1.832541777E-3,4.684545296E-3
2.056375010E-1,1.679830020E-3,3.970507067E-3,1.832541777E-3,4.684545296E-3
2.079405730E-1,-7.635590737E-4,2.748812549E-3,4.581354442E-4,2.889443021E-3
2.102436460E-1,4.581354442E-4,3.970507067E-3,6.108472589E-4,4.043259678E-3
2.125467190E-1,-7.635590737E-4,3.054236295E-4,4.581354442E-4,9.413788492E-4
2.148497920E-1,4.581354442E-4,1.527118147E-3,-7.635590737E-4,1.767767061E-3
2.171528650E-1,4.581354442E-4,3.970507067E-3,-1.832541777E-3,4.396933456E-3
2.194559380E-1,1.679830020E-3,2.748812549E-3,-6.108472589E-4,3.278861647E-3
2.217590110E-1,-7.635590737E-4,3.970507067E-3,1.679830020E-3,4.378330472E-3
